1002,2,1002,NaN,1002,0,1002,1,1002,0,1002,NaN,1002,1,1002,0,1002,0,1002,0
1003,0,1003,1,1003,1,1003,0,1003,1,1003,0,1003,0,1003,1,1003,1,1003,1
1004,1,1004,0,1004,1,1004,0,1004,0,1004,6,1004,1,1004,1,1004,1,1004,1
1005,1,1005,NaN,1005,1,1005,0,1005,0,1005,NaN,1005,1,1005,1,1005,1,1005,1
1008,1,1008,0,1008,1,1008,0,1008,1,1008,NaN,1008,0,1008,1,1008,1,1008,1
1013,1,1013,NaN,1013,1,1013,0,1013,0,1013,NaN,1013,1,1013,1,1013,0,1013,0
1015,1,1015,NaN,1015,0,1015,1,1015,0,1015,NaN,1015,1,1015,1,1015,1,1015,0
1016,1,1016,NaN,1016,1,1016,0,1016,1,1016,NaN,1016,0,1016,1,1016,1,1016,0
1017,2,1017,NaN,1017,1,1017,1,1017,0,1017,NaN,1017,1,1017,0,1017,0,1017,0
1018,2,1018,0,1018,1,1018,1,1018,0,1018,0,1018,1,1018,0,1018,1,1018,0
1020,1,1020,0,1020,1,1020,0,1020,1,1020,NaN,1020,0,1020,1,1020,1,1020,0
1022,2,1022,0,1022,1,1022,1,1022,0,1022,NaN,1022,1,1022,0,1022,1,1022,0
1024,1,1024,NaN,1024,1,1024,0,1024,0,1024,1,1024,1,1024,1,1024,0,1024,0
1025,0,1025,NaN,1025,1,1025,0,1025,0,1025,1,1025,1,1025,1,1025,0,1025,0
1027,2,1027,NaN,1027,1,1027,1,1027,0,1027,0,1027,1,1027,0,1027,0,1027,0
1029,2,1029,NaN,1029,1,1029,1,1029,0,1029,0,1029,1,1029,0,1029,0,1029,0
1031,1,1031,NaN,1031,1,1031,0,1031,1,1031,NaN,1031,0,1031,1,1031,1,1031,0
1032,1,1032,NaN,1032,1,1032,0,1032,1,1032,1,1032,0,1032,1,1032,1,1032,0
1033,1,1033,1,1033,1,1033,0,1033,1,1033,NaN,1033,0,1033,1,1033,1,1033,0
1034,2,1034,0,1034,0,1034,1,1034,0,1034,NaN,1034,1,1034,0,1034,1,1034,0
1036,2,1036,NaN,1036,0,1036,1,1036,0,1036,NaN,1036,1,1036,0,1036,1,1036,0
1039,0,1039,1,1039,1,1039,0,1039,1,1039,1,1039,0,1039,1,1039,1,1039,1
1041,1,1041,1,1041,1,1041,0,1041,0,1041,NaN,1041,1,1041,1,1041,0,1041,0
1042,1,1042,0,1042,1,1042,0,1042,1,1042,6,1042,0,1042,1,1042,1,1042,0
1043,1,1043,NaN,1043,1,1043,0,1043,0,1043,1,1043,1,1043,1,1043,1,1043,0
1044,1,1044,0,1044,1,1044,0,1044,0,1044,NaN,1044,1,1044,1,1044,1,1044,0
1045,1,1045,0,1045,1,1045,1,1045,1,1045,NaN,1045,0,1045,1,1045,1,1045,0
